filename,word,list_chars,list_chars_utf8
p5_আগমন.mp4,আগমন,"['আ', 'গ', 'ম', 'ন']","[b'\xe0\xa6\x86', b'\xe0\xa6\x97', b'\xe0\xa6\xae', b'\xe0\xa6\xa8']"
p5_অভিনেতা.mp4,অভিনেতা,"['অ', 'ভ', 'ি', 'ন', 'ে', 'ত', 'া']","[b'\xe0\xa6\x85', b'\xe0\xa6\xad', b'\xe0\xa6\xbf', b'\xe0\xa6\xa8', b'\xe0\xa7\x87', b'\xe0\xa6\xa4', b'\xe0\xa6\xbe']"
p3_অভিজ্ঞতা.mp4,অভিজ্ঞতা,"['অ', 'ভ', 'ি', 'জ', '্', 'ঞ', 'ত', 'া']","[b'\xe0\xa6\x85', b'\xe0\xa6\xad', b'\xe0\xa6\xbf', b'\xe0\xa6\x9c', b'\xe0\xa7\x8d', b'\xe0\xa6\x9e', b'\xe0\xa6\xa4', b'\xe0\xa6\xbe']"
p3_অন্য.mp4,অন্য,"['অ', 'ন', '্', 'য']","[b'\xe0\xa6\x85', b'\xe0\xa6\xa8', b'\xe0\xa7\x8d', b'\xe0\xa6\xaf']"
p2_অনুপস্থিতি.mp4,অনুপস্থিতি,"['অ', 'ন', 'ু', 'প', 'স', '্', 'থ', 'ি', 'ত', 'ি']","[b'\xe0\xa6\x85', b'\xe0\xa6\xa8', b'\xe0\xa7\x81', b'\xe0\xa6\xaa', b'\xe0\xa6\xb8', b'\xe0\xa7\x8d', b'\xe0\xa6\xa5', b'\xe0\xa6\xbf', b'\xe0\xa6\xa4', b'\xe0\xa6\xbf']"
p2_অক্ষম.mp4,অক্ষম,"['অ', 'ক', '্', 'ষ', 'ম']","[b'\xe0\xa6\x85', b'\xe0\xa6\x95', b'\xe0\xa7\x8d', b'\xe0\xa6\xb7', b'\xe0\xa6\xae']"
p6_অন্য.mp4,অন্য,"['অ', 'ন', '্', 'য']","[b'\xe0\xa6\x85', b'\xe0\xa6\xa8', b'\xe0\xa7\x8d', b'\xe0\xa6\xaf']"
p5_অভিনেত্রী.mp4,অভিনেত্রী,"['অ', 'ভ', 'ি', 'ন', 'ে', 'ত', '্', 'র', 'ী']","[b'\xe0\xa6\x85', b'\xe0\xa6\xad', b'\xe0\xa6\xbf', b'\xe0\xa6\xa8', b'\xe0\xa7\x87', b'\xe0\xa6\xa4', b'\xe0\xa7\x8d', b'\xe0\xa6\xb0', b'\xe0\xa7\x80']"
p1_আগামীকাল.mp4,আগামীকাল,"['আ', 'গ', 'া', 'ম', 'ী', 'ক', 'া', 'ল']","[b'\xe0\xa6\x86', b'\xe0\xa6\x97', b'\xe0\xa6\xbe', b'\xe0\xa6\xae', b'\xe0\xa7\x80', b'\xe0\xa6\x95', b'\xe0\xa6\xbe', b'\xe0\xa6\xb2']"
p4_অবদান.mp4,অবদান,"['অ', 'ব', 'দ', 'া', 'ন']","[b'\xe0\xa6\x85', b'\xe0\xa6\xac', b'\xe0\xa6\xa6', b'\xe0\xa6\xbe', b'\xe0\xa6\xa8']"
p5_আঘাত.mp4,আঘাত,"['আ', 'ঘ', 'া', 'ত']","[b'\xe0\xa6\x86', b'\xe0\xa6\x98', b'\xe0\xa6\xbe', b'\xe0\xa6\xa4']"
p5_অংক.mp4,অংক,"['অ', 'ং', 'ক']","[b'\xe0\xa6\x85', b'\xe0\xa6\x82', b'\xe0\xa6\x95']"
p2_অপেক্ষা.mp4,অপেক্ষা,"['অ', 'প', 'ে', 'ক', '্', 'ষ', 'া']","[b'\xe0\xa6\x85', b'\xe0\xa6\xaa', b'\xe0\xa7\x87', b'\xe0\xa6\x95', b'\xe0\xa7\x8d', b'\xe0\xa6\xb7', b'\xe0\xa6\xbe']"
p6_অজানা.mp4,অজানা,"['অ', 'জ', 'া', 'ন', 'া']","[b'\xe0\xa6\x85', b'\xe0\xa6\x9c', b'\xe0\xa6\xbe', b'\xe0\xa6\xa8', b'\xe0\xa6\xbe']"
p1_অবদান.mp4,অবদান,"['অ', 'ব', 'দ', 'া', 'ন']","[b'\xe0\xa6\x85', b'\xe0\xa6\xac', b'\xe0\xa6\xa6', b'\xe0\xa6\xbe', b'\xe0\xa6\xa8']"
p6_অবস্থা.mp4,অবস্থা,"['অ', 'ব', 'স', '্', 'থ', 'া']","[b'\xe0\xa6\x85', b'\xe0\xa6\xac', b'\xe0\xa6\xb8', b'\xe0\xa7\x8d', b'\xe0\xa6\xa5', b'\xe0\xa6\xbe']"
p5_অসাধু.mp4,অসাধু,"['অ', 'স', 'া', 'ধ', 'ু']","[b'\xe0\xa6\x85', b'\xe0\xa6\xb8', b'\xe0\xa6\xbe', b'\xe0\xa6\xa7', b'\xe0\xa7\x81']"
p5_অসাধারণ.mp4,অসাধারণ,"['অ', 'স', 'া', 'ধ', 'া', 'র', 'ণ']","[b'\xe0\xa6\x85', b'\xe0\xa6\xb8', b'\xe0\xa6\xbe', b'\xe0\xa6\xa7', b'\xe0\xa6\xbe', b'\xe0\xa6\xb0', b'\xe0\xa6\xa3']"
p5_অভিযোগ.mp4,অভিযোগ,"['অ', 'ভ', 'ি', 'য', 'ো', 'গ']","[b'\xe0\xa6\x85', b'\xe0\xa6\xad', b'\xe0\xa6\xbf', b'\xe0\xa6\xaf', b'\xe0\xa7\x8b', b'\xe0\xa6\x97']"
p4_অনেক.mp4,অনেক,"['অ', 'ন', 'ে', 'ক']","[b'\xe0\xa6\x85', b'\xe0\xa6\xa8', b'\xe0\xa7\x87', b'\xe0\xa6\x95']"
p2_অপরাধী.mp4,অপরাধী,"['অ', 'প', 'র', 'া', 'ধ', 'ী']","[b'\xe0\xa6\x85', b'\xe0\xa6\xaa', b'\xe0\xa6\xb0', b'\xe0\xa6\xbe', b'\xe0\xa6\xa7', b'\xe0\xa7\x80']"
p5_আজ.mp4,আজ,"['আ', 'জ']","[b'\xe0\xa6\x86', b'\xe0\xa6\x9c']"
p4_অধিকতর.mp4,অধিকতর,"['অ', 'ধ', 'ি', 'ক', 'ত', 'র']","[b'\xe0\xa6\x85', b'\xe0\xa6\xa7', b'\xe0\xa6\xbf', b'\xe0\xa6\x95', b'\xe0\xa6\xa4', b'\xe0\xa6\xb0']"
p6_অবৈধ.mp4,অবৈধ,"['অ', 'ব', 'ৈ', 'ধ']","[b'\xe0\xa6\x85', b'\xe0\xa6\xac', b'\xe0\xa7\x88', b'\xe0\xa6\xa7']"
p1_আগাম.mp4,আগাম,"['আ', 'গ', 'া', 'ম']","[b'\xe0\xa6\x86', b'\xe0\xa6\x97', b'\xe0\xa6\xbe', b'\xe0\xa6\xae']"
p1_অন্য.mp4,অন্য,"['অ', 'ন', '্', 'য']","[b'\xe0\xa6\x85', b'\xe0\xa6\xa8', b'\xe0\xa7\x8d', b'\xe0\xa6\xaf']"
p5_অংশ.mp4,অংশ,"['অ', 'ং', 'শ']","[b'\xe0\xa6\x85', b'\xe0\xa6\x82', b'\xe0\xa6\xb6']"
p2_আকাশ.mp4,আকাশ,"['আ', 'ক', 'া', 'শ']","[b'\xe0\xa6\x86', b'\xe0\xa6\x95', b'\xe0\xa6\xbe', b'\xe0\xa6\xb6']"
p2_অসুস্থ.mp4,অসুস্থ,"['অ', 'স', 'ু', 'স', '্', 'থ']","[b'\xe0\xa6\x85', b'\xe0\xa6\xb8', b'\xe0\xa7\x81', b'\xe0\xa6\xb8', b'\xe0\xa7\x8d', b'\xe0\xa6\xa5']"
p4_অনুভব.mp4,অনুভব,"['অ', 'ন', 'ু', 'ভ', 'ব']","[b'\xe0\xa6\x85', b'\xe0\xa6\xa8', b'\xe0\xa7\x81', b'\xe0\xa6\xad', b'\xe0\xa6\xac']"
p1_আঞ্চলিক.mp4,আঞ্চলিক,"['আ', 'ঞ', '্', 'চ', 'ল', 'ি', 'ক']","[b'\xe0\xa6\x86', b'\xe0\xa6\x9e', b'\xe0\xa7\x8d', b'\xe0\xa6\x9a', b'\xe0\xa6\xb2', b'\xe0\xa6\xbf', b'\xe0\xa6\x95']"
p6_অভিজ্ঞতা.mp4,অভিজ্ঞতা,"['অ', 'ভ', 'ি', 'জ', '্', 'ঞ', 'ত', 'া']","[b'\xe0\xa6\x85', b'\xe0\xa6\xad', b'\xe0\xa6\xbf', b'\xe0\xa6\x9c', b'\xe0\xa7\x8d', b'\xe0\xa6\x9e', b'\xe0\xa6\xa4', b'\xe0\xa6\xbe']"
p4_অধীনে.mp4,অধীনে,"['অ', 'ধ', 'ী', 'ন', 'ে']","[b'\xe0\xa6\x85', b'\xe0\xa6\xa7', b'\xe0\xa7\x80', b'\xe0\xa6\xa8', b'\xe0\xa7\x87']"
p1_অতিক্রম.mp4,অতিক্রম,"['অ', 'ত', 'ি', 'ক', '্', 'র', 'ম']","[b'\xe0\xa6\x85', b'\xe0\xa6\xa4', b'\xe0\xa6\xbf', b'\xe0\xa6\x95', b'\xe0\xa7\x8d', b'\xe0\xa6\xb0', b'\xe0\xa6\xae']"
p4_অবিশ্বাস্যভাবে.mp4,অবিশ্বাস্যভাবে,"['অ', 'ব', 'ি', 'শ', '্', 'ব', 'া', 'স', '্', 'য', 'ভ', 'া', 'ব', 'ে']","[b'\xe0\xa6\x85', b'\xe0\xa6\xac', b'\xe0\xa6\xbf', b'\xe0\xa6\xb6', b'\xe0\xa7\x8d', b'\xe0\xa6\xac', b'\xe0\xa6\xbe', b'\xe0\xa6\xb8', b'\xe0\xa7\x8d', b'\xe0\xa6\xaf', b'\xe0\xa6\xad', b'\xe0\xa6\xbe', b'\xe0\xa6\xac', b'\xe0\xa7\x87']"
p4_অনুষ্ঠান.mp4,অনুষ্ঠান,"['অ', 'ন', 'ু', 'ষ', '্', 'ঠ', 'া', 'ন']","[b'\xe0\xa6\x85', b'\xe0\xa6\xa8', b'\xe0\xa7\x81', b'\xe0\xa6\xb7', b'\xe0\xa7\x8d', b'\xe0\xa6\xa0', b'\xe0\xa6\xbe', b'\xe0\xa6\xa8']"
p6_অগ্রবর্তী.mp4,অগ্রবর্তী,"['অ', 'গ', '্', 'র', 'ব', 'র', '্', 'ত', 'ী']","[b'\xe0\xa6\x85', b'\xe0\xa6\x97', b'\xe0\xa7\x8d', b'\xe0\xa6\xb0', b'\xe0\xa6\xac', b'\xe0\xa6\xb0', b'\xe0\xa7\x8d', b'\xe0\xa6\xa4', b'\xe0\xa7\x80']"
p4_আগাম.mp4,আগাম,"['আ', 'গ', 'া', 'ম']","[b'\xe0\xa6\x86', b'\xe0\xa6\x97', b'\xe0\xa6\xbe', b'\xe0\xa6\xae']"
p6_অনুভূতি.mp4,অনুভূতি,"['অ', 'ন', 'ু', 'ভ', 'ূ', 'ত', 'ি']","[b'\xe0\xa6\x85', b'\xe0\xa6\xa8', b'\xe0\xa7\x81', b'\xe0\xa6\xad', b'\xe0\xa7\x82', b'\xe0\xa6\xa4', b'\xe0\xa6\xbf']"
p2_অনুবাদ.mp4,অনুবাদ,"['অ', 'ন', 'ু', 'ব', 'া', 'দ']","[b'\xe0\xa6\x85', b'\xe0\xa6\xa8', b'\xe0\xa7\x81', b'\xe0\xa6\xac', b'\xe0\xa6\xbe', b'\xe0\xa6\xa6']"
p1_অক্ষম.mp4,অক্ষম,"['অ', 'ক', '্', 'ষ', 'ম']","[b'\xe0\xa6\x85', b'\xe0\xa6\x95', b'\xe0\xa7\x8d', b'\xe0\xa6\xb7', b'\xe0\xa6\xae']"
p1_অতএব.mp4,অতএব,"['অ', 'ত', 'এ', 'ব']","[b'\xe0\xa6\x85', b'\xe0\xa6\xa4', b'\xe0\xa6\x8f', b'\xe0\xa6\xac']"
p4_অদ্ভুত.mp4,অদ্ভুত,"['অ', 'দ', '্', 'ভ', 'ু', 'ত']","[b'\xe0\xa6\x85', b'\xe0\xa6\xa6', b'\xe0\xa7\x8d', b'\xe0\xa6\xad', b'\xe0\xa7\x81', b'\xe0\xa6\xa4']"
p2_অবিলম্বে.mp4,অবিলম্বে,"['অ', 'ব', 'ি', 'ল', 'ম', '্', 'ব', 'ে']","[b'\xe0\xa6\x85', b'\xe0\xa6\xac', b'\xe0\xa6\xbf', b'\xe0\xa6\xb2', b'\xe0\xa6\xae', b'\xe0\xa7\x8d', b'\xe0\xa6\xac', b'\xe0\xa7\x87']"
p4_অভিযুক্ত.mp4,অভিযুক্ত,"['অ', 'ভ', 'ি', 'য', 'ু', 'ক', '্', 'ত']","[b'\xe0\xa6\x85', b'\xe0\xa6\xad', b'\xe0\xa6\xbf', b'\xe0\xa6\xaf', b'\xe0\xa7\x81', b'\xe0\xa6\x95', b'\xe0\xa7\x8d', b'\xe0\xa6\xa4']"
p2_আঞ্চলিক.mp4,আঞ্চলিক,"['আ', 'ঞ', '্', 'চ', 'ল', 'ি', 'ক']","[b'\xe0\xa6\x86', b'\xe0\xa6\x9e', b'\xe0\xa7\x8d', b'\xe0\xa6\x9a', b'\xe0\xa6\xb2', b'\xe0\xa6\xbf', b'\xe0\xa6\x95']"
p1_অপেক্ষাকৃতভাবে.mp4,অপেক্ষাকৃতভাবে,"['অ', 'প', 'ে', 'ক', '্', 'ষ', 'া', 'ক', 'ৃ', 'ত', 'ভ', 'া', 'ব', 'ে']","[b'\xe0\xa6\x85', b'\xe0\xa6\xaa', b'\xe0\xa7\x87', b'\xe0\xa6\x95', b'\xe0\xa7\x8d', b'\xe0\xa6\xb7', b'\xe0\xa6\xbe', b'\xe0\xa6\x95', b'\xe0\xa7\x83', b'\xe0\xa6\xa4', b'\xe0\xa6\xad', b'\xe0\xa6\xbe', b'\xe0\xa6\xac', b'\xe0\xa7\x87']"
p5_অবস্থান.mp4,অবস্থান,"['অ', 'ব', 'স', '্', 'থ', 'া', 'ন']","[b'\xe0\xa6\x85', b'\xe0\xa6\xac', b'\xe0\xa6\xb8', b'\xe0\xa7\x8d', b'\xe0\xa6\xa5', b'\xe0\xa6\xbe', b'\xe0\xa6\xa8']"
p6_অনুমতি.mp4,অনুমতি,"['অ', 'ন', 'ু', 'ম', 'ত', 'ি']","[b'\xe0\xa6\x85', b'\xe0\xa6\xa8', b'\xe0\xa7\x81', b'\xe0\xa6\xae', b'\xe0\xa6\xa4', b'\xe0\xa6\xbf']"
p3_অভিবাসী.mp4,অভিবাসী,"['অ', 'ভ', 'ি', 'ব', 'া', 'স', 'ী']","[b'\xe0\xa6\x85', b'\xe0\xa6\xad', b'\xe0\xa6\xbf', b'\xe0\xa6\xac', b'\xe0\xa6\xbe', b'\xe0\xa6\xb8', b'\xe0\xa7\x80']"
p1_অবৈধ.mp4,অবৈধ,"['অ', 'ব', 'ৈ', 'ধ']","[b'\xe0\xa6\x85', b'\xe0\xa6\xac', b'\xe0\xa7\x88', b'\xe0\xa6\xa7']"
p3_অফিসার.mp4,অফিসার,"['অ', 'ফ', 'ি', 'স', 'া', 'র']","[b'\xe0\xa6\x85', b'\xe0\xa6\xab', b'\xe0\xa6\xbf', b'\xe0\xa6\xb8', b'\xe0\xa6\xbe', b'\xe0\xa6\xb0']"
p3_অপারেশন.mp4,অপারেশন,"['অ', 'প', 'া', 'র', 'ে', 'শ', 'ন']","[b'\xe0\xa6\x85', b'\xe0\xa6\xaa', b'\xe0\xa6\xbe', b'\xe0\xa6\xb0', b'\xe0\xa7\x87', b'\xe0\xa6\xb6', b'\xe0\xa6\xa8']"
p4_অসদৃশ.mp4,অসদৃশ,"['অ', 'স', 'দ', 'ৃ', 'শ']","[b'\xe0\xa6\x85', b'\xe0\xa6\xb8', b'\xe0\xa6\xa6', b'\xe0\xa7\x83', b'\xe0\xa6\xb6']"
p4_অত্যধিক.mp4,অত্যধিক,"['অ', 'ত', '্', 'য', 'ধ', 'ি', 'ক']","[b'\xe0\xa6\x85', b'\xe0\xa6\xa4', b'\xe0\xa7\x8d', b'\xe0\xa6\xaf', b'\xe0\xa6\xa7', b'\xe0\xa6\xbf', b'\xe0\xa6\x95']"
p1_অত্যাবশ্যক.mp4,অত্যাবশ্যক,"['অ', 'ত', '্', 'য', 'া', 'ব', 'শ', '্', 'য', 'ক']","[b'\xe0\xa6\x85', b'\xe0\xa6\xa4', b'\xe0\xa7\x8d', b'\xe0\xa6\xaf', b'\xe0\xa6\xbe', b'\xe0\xa6\xac', b'\xe0\xa6\xb6', b'\xe0\xa7\x8d', b'\xe0\xa6\xaf', b'\xe0\xa6\x95']"
p5_অফিসার.mp4,অফিসার,"['অ', 'ফ', 'ি', 'স', 'া', 'র']","[b'\xe0\xa6\x85', b'\xe0\xa6\xab', b'\xe0\xa6\xbf', b'\xe0\xa6\xb8', b'\xe0\xa6\xbe', b'\xe0\xa6\xb0']"
p4_অভিগমন.mp4,অভিগমন,"['অ', 'ভ', 'ি', 'গ', 'ম', 'ন']","[b'\xe0\xa6\x85', b'\xe0\xa6\xad', b'\xe0\xa6\xbf', b'\xe0\xa6\x97', b'\xe0\xa6\xae', b'\xe0\xa6\xa8']"
p2_অনুভব.mp4,অনুভব,"['অ', 'ন', 'ু', 'ভ', 'ব']","[b'\xe0\xa6\x85', b'\xe0\xa6\xa8', b'\xe0\xa7\x81', b'\xe0\xa6\xad', b'\xe0\xa6\xac']"
p2_অস্বচ্ছন্দ.mp4,অস্বচ্ছন্দ,"['অ', 'স', '্', 'ব', 'চ', '্', 'ছ', 'ন', '্', 'দ']","[b'\xe0\xa6\x85', b'\xe0\xa6\xb8', b'\xe0\xa7\x8d', b'\xe0\xa6\xac', b'\xe0\xa6\x9a', b'\xe0\xa7\x8d', b'\xe0\xa6\x9b', b'\xe0\xa6\xa8', b'\xe0\xa7\x8d', b'\xe0\xa6\xa6']"
p2_অনুমোদন.mp4,অনুমোদন,"['অ', 'ন', 'ু', 'ম', 'ো', 'দ', 'ন']","[b'\xe0\xa6\x85', b'\xe0\xa6\xa8', b'\xe0\xa7\x81', b'\xe0\xa6\xae', b'\xe0\xa7\x8b', b'\xe0\xa6\xa6', b'\xe0\xa6\xa8']"
p2_অই.mp4,অই,"['অ', 'ই']","[b'\xe0\xa6\x85', b'\xe0\xa6\x87']"
p1_আঘাত.mp4,আঘাত,"['আ', 'ঘ', 'া', 'ত']","[b'\xe0\xa6\x86', b'\xe0\xa6\x98', b'\xe0\xa6\xbe', b'\xe0\xa6\xa4']"
p4_অগ্রসর.mp4,অগ্রসর,"['অ', 'গ', '্', 'র', 'স', 'র']","[b'\xe0\xa6\x85', b'\xe0\xa6\x97', b'\xe0\xa7\x8d', b'\xe0\xa6\xb0', b'\xe0\xa6\xb8', b'\xe0\xa6\xb0']"
p6_অধিকতর.mp4,অধিকতর,"['অ', 'ধ', 'ি', 'ক', 'ত', 'র']","[b'\xe0\xa6\x85', b'\xe0\xa6\xa7', b'\xe0\xa6\xbf', b'\xe0\xa6\x95', b'\xe0\xa6\xa4', b'\xe0\xa6\xb0']"
p2_অবসরপ্রাপ্ত.mp4,অবসরপ্রাপ্ত,"['অ', 'ব', 'স', 'র', 'প', '্', 'র', 'া', 'প', '্', 'ত']","[b'\xe0\xa6\x85', b'\xe0\xa6\xac', b'\xe0\xa6\xb8', b'\xe0\xa6\xb0', b'\xe0\xa6\xaa', b'\xe0\xa7\x8d', b'\xe0\xa6\xb0', b'\xe0\xa6\xbe', b'\xe0\xa6\xaa', b'\xe0\xa7\x8d', b'\xe0\xa6\xa4']"
p5_অঙ্গীকার.mp4,অঙ্গীকার,"['অ', 'ঙ', '্', 'গ', 'ী', 'ক', 'া', 'র']","[b'\xe0\xa6\x85', b'\xe0\xa6\x99', b'\xe0\xa7\x8d', b'\xe0\xa6\x97', b'\xe0\xa7\x80', b'\xe0\xa6\x95', b'\xe0\xa6\xbe', b'\xe0\xa6\xb0']"
p3_অবলম্বন.mp4,অবলম্বন,"['অ', 'ব', 'ল', 'ম', '্', 'ব', 'ন']","[b'\xe0\xa6\x85', b'\xe0\xa6\xac', b'\xe0\xa6\xb2', b'\xe0\xa6\xae', b'\xe0\xa7\x8d', b'\xe0\xa6\xac', b'\xe0\xa6\xa8']"
p4_অবস্থিত.mp4,অবস্থিত,"['অ', 'ব', 'স', '্', 'থ', 'ি', 'ত']","[b'\xe0\xa6\x85', b'\xe0\xa6\xac', b'\xe0\xa6\xb8', b'\xe0\xa7\x8d', b'\xe0\xa6\xa5', b'\xe0\xa6\xbf', b'\xe0\xa6\xa4']"
p3_অতিথি.mp4,অতিথি,"['অ', 'ত', 'ি', 'থ', 'ি']","[b'\xe0\xa6\x85', b'\xe0\xa6\xa4', b'\xe0\xa6\xbf', b'\xe0\xa6\xa5', b'\xe0\xa6\xbf']"
p1_অনুরোধ.mp4,অনুরোধ,"['অ', 'ন', 'ু', 'র', 'ো', 'ধ']","[b'\xe0\xa6\x85', b'\xe0\xa6\xa8', b'\xe0\xa7\x81', b'\xe0\xa6\xb0', b'\xe0\xa7\x8b', b'\xe0\xa6\xa7']"
p2_আঘাত.mp4,আঘাত,"['আ', 'ঘ', 'া', 'ত']","[b'\xe0\xa6\x86', b'\xe0\xa6\x98', b'\xe0\xa6\xbe', b'\xe0\xa6\xa4']"
p2_আকর্ষণীয়.mp4,আকর্ষণীয়,"['আ', 'ক', 'র', '্', 'ষ', 'ণ', 'ী', 'য', '়']","[b'\xe0\xa6\x86', b'\xe0\xa6\x95', b'\xe0\xa6\xb0', b'\xe0\xa7\x8d', b'\xe0\xa6\xb7', b'\xe0\xa6\xa3', b'\xe0\xa7\x80', b'\xe0\xa6\xaf', b'\xe0\xa6\xbc']"
p3_অভিঘাত.mp4,অভিঘাত,"['অ', 'ভ', 'ি', 'ঘ', 'া', 'ত']","[b'\xe0\xa6\x85', b'\xe0\xa6\xad', b'\xe0\xa6\xbf', b'\xe0\xa6\x98', b'\xe0\xa6\xbe', b'\xe0\xa6\xa4']"
p6_অনুসরণ.mp4,অনুসরণ,"['অ', 'ন', 'ু', 'স', 'র', 'ণ']","[b'\xe0\xa6\x85', b'\xe0\xa6\xa8', b'\xe0\xa7\x81', b'\xe0\xa6\xb8', b'\xe0\xa6\xb0', b'\xe0\xa6\xa3']"
p2_অধ্যয়ন.mp4,অধ্যয়ন,"['অ', 'ধ', '্', 'য', 'য', '়', 'ন']","[b'\xe0\xa6\x85', b'\xe0\xa6\xa7', b'\xe0\xa7\x8d', b'\xe0\xa6\xaf', b'\xe0\xa6\xaf', b'\xe0\xa6\xbc', b'\xe0\xa6\xa8']"
p2_অধীনে.mp4,অধীনে,"['অ', 'ধ', 'ী', 'ন', 'ে']","[b'\xe0\xa6\x85', b'\xe0\xa6\xa7', b'\xe0\xa7\x80', b'\xe0\xa6\xa8', b'\xe0\xa7\x87']"
p2_অসুবিধা.mp4,অসুবিধা,"['অ', 'স', 'ু', 'ব', 'ি', 'ধ', 'া']","[b'\xe0\xa6\x85', b'\xe0\xa6\xb8', b'\xe0\xa7\x81', b'\xe0\xa6\xac', b'\xe0\xa6\xbf', b'\xe0\xa6\xa7', b'\xe0\xa6\xbe']"
p2_অ্যালবাম.mp4,অ্যালবাম,"['অ', '্', 'য', 'া', 'ল', 'ব', 'া', 'ম']","[b'\xe0\xa6\x85', b'\xe0\xa7\x8d', b'\xe0\xa6\xaf', b'\xe0\xa6\xbe', b'\xe0\xa6\xb2', b'\xe0\xa6\xac', b'\xe0\xa6\xbe', b'\xe0\xa6\xae']"
p5_অংশীদার.mp4,অংশীদার,"['অ', 'ং', 'শ', 'ী', 'দ', 'া', 'র']","[b'\xe0\xa6\x85', b'\xe0\xa6\x82', b'\xe0\xa6\xb6', b'\xe0\xa7\x80', b'\xe0\xa6\xa6', b'\xe0\xa6\xbe', b'\xe0\xa6\xb0']"
p3_অনুপস্থিতি.mp4,অনুপস্থিতি,"['অ', 'ন', 'ু', 'প', 'স', '্', 'থ', 'ি', 'ত', 'ি']","[b'\xe0\xa6\x85', b'\xe0\xa6\xa8', b'\xe0\xa7\x81', b'\xe0\xa6\xaa', b'\xe0\xa6\xb8', b'\xe0\xa7\x8d', b'\xe0\xa6\xa5', b'\xe0\xa6\xbf', b'\xe0\xa6\xa4', b'\xe0\xa6\xbf']"
p3_অদ্ভুত.mp4,অদ্ভুত,"['অ', 'দ', '্', 'ভ', 'ু', 'ত']","[b'\xe0\xa6\x85', b'\xe0\xa6\xa6', b'\xe0\xa7\x8d', b'\xe0\xa6\xad', b'\xe0\xa7\x81', b'\xe0\xa6\xa4']"
p1_অভিনেত্রী.mp4,অভিনেত্রী,"['অ', 'ভ', 'ি', 'ন', 'ে', 'ত', '্', 'র', 'ী']","[b'\xe0\xa6\x85', b'\xe0\xa6\xad', b'\xe0\xa6\xbf', b'\xe0\xa6\xa8', b'\xe0\xa7\x87', b'\xe0\xa6\xa4', b'\xe0\xa7\x8d', b'\xe0\xa6\xb0', b'\xe0\xa7\x80']"
